id,Time,Event
143904,-,no commentary
143905,-,no commentary
143909,-,no commentary
143908,-,no commentary
143906,-,no commentary
143907,-,no commentary
143910,-,no commentary
143912,-,no commentary
143913,-,no commentary
143911,-,no commentary
143914,-,no commentary
143915,-,no commentary
143919,-,no commentary
143916,-,no commentary
143917,-,no commentary
143918,-,no commentary
143920,-,no commentary
143921,-,no commentary
143924,-,no commentary
143922,-,no commentary
143923,-,no commentary
143925,-,no commentary
143929,-,no commentary
143927,-,no commentary
143928,-,no commentary
143926,-,no commentary
143930,-,no commentary
143931,-,no commentary
143933,-,no commentary
143934,-,no commentary
143932,-,no commentary
143935,-,no commentary
143939,-,no commentary
143938,-,no commentary
143937,-,no commentary
143936,-,no commentary
143940,-,no commentary
143941,-,no commentary
143942,-,no commentary
143944,-,no commentary
151700,-,no commentary
143943,-,no commentary
143945,-,no commentary
143946,-,no commentary
143950,-,no commentary
143948,-,no commentary
143947,-,no commentary
143949,-,no commentary
143951,-,no commentary
143955,-,no commentary
143954,-,no commentary
143952,-,no commentary
143953,-,no commentary
143956,-,no commentary
143957,-,no commentary
143960,-,no commentary
143958,-,no commentary
143959,-,no commentary
143961,-,no commentary
143962,-,no commentary
143963,-,no commentary
143964,-,no commentary
143965,-,no commentary
143967,-,no commentary
143966,-,no commentary
143968,-,no commentary
143969,-,no commentary
143973,-,no commentary
143970,-,no commentary
143971,-,no commentary
143972,-,no commentary
143975,-,no commentary
143974,-,no commentary
143976,-,no commentary
143977,-,no commentary
143979,-,no commentary
143978,-,no commentary
143980,-,no commentary
151956,-,no commentary
151959,-,no commentary
151957,-,no commentary
151960,-,no commentary
151958,-,no commentary
143981,-,no commentary
143982,-,no commentary
152311,-,no commentary
152312,-,no commentary
143988,-,no commentary
143991,-,no commentary
143989,-,no commentary
143992,-,no commentary
143994,-,no commentary
143993,-,no commentary
144001,-,no commentary
143998,-,no commentary
143997,-,no commentary
143995,-,no commentary
143996,-,no commentary
143999,-,no commentary
144000,-,no commentary
144004,-,no commentary
144005,-,no commentary
144006,-,no commentary
144002,-,no commentary
144003,-,no commentary
144008,-,no commentary
144010,-,no commentary
144009,-,no commentary
144011,-,no commentary
161567,-,no commentary
144016,-,no commentary
144015,-,no commentary
144013,-,no commentary
144014,-,no commentary
144012,-,no commentary
144017,-,no commentary
144020,-,no commentary
144019,-,no commentary
144018,-,no commentary
144021,-,no commentary
144025,-,no commentary
144023,-,no commentary
144026,-,no commentary
144024,-,no commentary
144027,-,no commentary
144032,-,no commentary
144028,-,no commentary
144030,-,no commentary
144029,-,no commentary
144031,-,no commentary
144036,-,no commentary
144037,-,no commentary
144033,-,no commentary
144035,-,no commentary
144034,-,no commentary
161725,-,no commentary
144046,-,no commentary
144045,-,no commentary
144043,-,no commentary
144044,-,no commentary
144047,-,no commentary
167858,-,no commentary
167852,-,no commentary
167854,-,no commentary
167856,-,no commentary
167855,-,no commentary
167859,-,no commentary
167857,-,no commentary
167853,-,no commentary
168949,-,no commentary
168950,-,no commentary
168975,-,no commentary
181744,-,no commentary
181632,-,no commentary
181636,-,no commentary
181634,-,no commentary
181633,-,no commentary
181635,-,no commentary
181745,-,no commentary
181639,-,no commentary
181640,-,no commentary
181638,-,no commentary
181637,-,no commentary
181641,-,no commentary
181642,-,no commentary
181746,-,no commentary
181644,-,no commentary
181643,-,no commentary
181645,-,no commentary
181648,-,no commentary
181647,-,no commentary
181747,-,no commentary
181649,-,no commentary
181646,-,no commentary
181650,-,no commentary
181651,-,no commentary
181653,-,no commentary
181655,-,no commentary
181652,-,no commentary
181748,-,no commentary
181654,-,no commentary
181656,-,no commentary
181749,-,no commentary
181659,-,no commentary
181658,-,no commentary
181657,-,no commentary
181660,-,no commentary
181661,-,no commentary
181750,-,no commentary
181665,-,no commentary
181663,-,no commentary
181662,-,no commentary
181664,-,no commentary
181666,-,no commentary
181751,-,no commentary
181667,-,no commentary
181671,-,no commentary
181670,-,no commentary
181669,-,no commentary
181668,-,no commentary
181752,-,no commentary
181672,-,no commentary
181673,-,no commentary
181674,-,no commentary
181753,-,no commentary
181678,-,no commentary
181677,-,no commentary
181676,-,no commentary
181675,-,no commentary
181679,-,no commentary
181680,-,no commentary
181754,-,no commentary
181755,-,no commentary
181683,-,no commentary
181682,-,no commentary
181684,-,no commentary
181681,-,no commentary
181685,-,no commentary
181687,-,no commentary
181686,-,no commentary
181756,-,no commentary
181689,-,no commentary
181688,-,no commentary
181691,-,no commentary
181690,-,no commentary
181692,-,no commentary
181757,-,no commentary
181696,-,no commentary
181694,-,no commentary
181695,-,no commentary
181693,-,no commentary
181697,-,no commentary
181758,-,no commentary
181698,-,no commentary
181700,-,no commentary
181701,-,no commentary
181759,-,no commentary
181699,-,no commentary
181702,-,no commentary
181703,-,no commentary
183856,-,no commentary
181704,-,no commentary
181760,-,no commentary
181705,-,no commentary
181706,-,no commentary
181709,-,no commentary
181708,-,no commentary
181707,-,no commentary
181710,-,no commentary
181761,-,no commentary
181713,-,no commentary
181712,-,no commentary
181711,-,no commentary
181714,-,no commentary
181715,-,no commentary
181762,-,no commentary
181717,-,no commentary
181718,-,no commentary
181716,-,no commentary
181720,-,no commentary
181721,-,no commentary
181719,-,no commentary
181763,-,no commentary
181722,-,no commentary
181724,-,no commentary
181726,-,no commentary
181723,-,no commentary
181725,-,no commentary
181728,-,no commentary
181727,-,no commentary
181764,-,no commentary
181733,-,no commentary
181734,-,no commentary
181731,-,no commentary
181732,-,no commentary
181730,-,no commentary
187481,-,no commentary
181737,-,no commentary
181736,-,no commentary
181735,-,no commentary
181765,-,no commentary
181741,-,no commentary
181738,-,no commentary
181739,-,no commentary
181740,-,no commentary
181742,-,no commentary
183857,-,no commentary
181743,-,no commentary
181766,-,no commentary
181767,-,no commentary
181769,-,no commentary
181770,-,no commentary
181771,-,no commentary
181775,-,no commentary
181774,-,no commentary
181773,-,no commentary
184058,-,no commentary
181781,-,no commentary
181780,-,no commentary
181779,-,no commentary
181778,-,no commentary
181777,-,no commentary
181782,-,no commentary
181786,-,no commentary
181787,-,no commentary
181784,-,no commentary
181785,-,no commentary
181783,-,no commentary
181792,-,no commentary
181791,-,no commentary
181790,-,no commentary
181789,-,no commentary
181788,-,no commentary
181793,-,no commentary
183858,-,no commentary
181794,-,no commentary
181795,-,no commentary
181796,-,no commentary
181801,-,no commentary
181800,-,no commentary
181797,-,no commentary
181799,-,no commentary
181807,-,no commentary
181808,-,no commentary
181806,-,no commentary
181805,-,no commentary
181804,-,no commentary
181803,-,no commentary
183796,-,no commentary
181810,-,no commentary
181809,-,no commentary
181811,-,no commentary
181816,-,no commentary
181813,-,no commentary
181814,-,no commentary
181812,-,no commentary
181815,-,no commentary
181818,-,no commentary
181822,-,no commentary
181820,-,no commentary
181821,-,no commentary
181819,-,no commentary
181823,-,no commentary
190184,-,no commentary
190186,-,no commentary
190185,-,no commentary
190187,-,no commentary
190269,-,no commentary
190190,-,no commentary
190189,-,no commentary
190188,-,no commentary
190191,-,no commentary
190270,-,no commentary
190271,-,no commentary
190418,-,no commentary
195741,-,no commentary
195742,-,no commentary
195743,-,no commentary
195746,-,no commentary
195745,-,no commentary
195744,-,no commentary
195748,-,no commentary
195749,-,no commentary
195752,-,no commentary
195750,-,no commentary
195747,-,no commentary
195751,-,no commentary
195753,-,no commentary
195754,-,no commentary
195757,-,no commentary
195758,-,no commentary
195756,-,no commentary
195755,-,no commentary
195760,-,no commentary
195761,-,no commentary
195759,-,no commentary
195762,-,no commentary
195766,-,no commentary
195767,-,no commentary
195764,-,no commentary
195765,-,no commentary
195763,-,no commentary
195768,-,no commentary
195773,-,no commentary
195771,-,no commentary
195770,-,no commentary
195772,-,no commentary
195769,-,no commentary
195774,-,no commentary
195778,-,no commentary
195781,-,no commentary
195777,-,no commentary
195779,-,no commentary
195780,-,no commentary
195776,-,no commentary
195782,-,no commentary
195786,-,no commentary
195785,-,no commentary
195787,-,no commentary
195784,-,no commentary
195783,-,no commentary
195788,-,no commentary
195790,-,no commentary
195792,-,no commentary
195791,-,no commentary
195789,-,no commentary
195794,-,no commentary
195793,-,no commentary
195796,-,no commentary
195795,-,no commentary
195799,-,no commentary
195797,-,no commentary
195798,-,no commentary
195800,-,no commentary
195801,-,no commentary
195802,-,no commentary
195804,-,no commentary
195803,-,no commentary
195805,-,no commentary
195806,-,no commentary
195807,-,no commentary
195810,-,no commentary
195812,-,no commentary
195811,-,no commentary
195808,-,no commentary
195809,-,no commentary
195814,-,no commentary
195815,-,no commentary
195813,-,no commentary
195820,-,no commentary
195816,-,no commentary
195819,-,no commentary
195817,-,no commentary
195818,-,no commentary
195821,-,no commentary
195824,-,no commentary
197678,-,no commentary
195822,-,no commentary
195823,-,no commentary
195825,-,no commentary
195828,-,no commentary
195826,-,no commentary
195827,-,no commentary
195831,-,no commentary
195832,-,no commentary
195833,-,no commentary
195830,-,no commentary
195834,-,no commentary
195829,-,no commentary
195835,-,no commentary
195837,-,no commentary
195840,-,no commentary
195836,-,no commentary
195838,-,no commentary
195839,-,no commentary
195841,-,no commentary
195846,-,no commentary
195843,-,no commentary
195845,-,no commentary
195842,-,no commentary
195844,-,no commentary
195848,-,no commentary
195853,-,no commentary
195850,-,no commentary
195854,-,no commentary
195852,-,no commentary
195851,-,no commentary
195855,-,no commentary
195857,-,no commentary
197681,-,no commentary
197682,-,no commentary
197679,-,no commentary
197680,-,no commentary
203711,-,no commentary
195858,-,no commentary
197683,-,no commentary
195863,-,no commentary
195864,-,no commentary
195868,-,no commentary
195865,-,no commentary
195867,-,no commentary
195866,-,no commentary
195871,-,no commentary
195873,-,no commentary
195870,-,no commentary
195875,-,no commentary
195877,-,no commentary
195876,-,no commentary
195878,-,no commentary
195874,-,no commentary
195879,-,no commentary
195880,-,no commentary
195884,-,no commentary
195885,-,no commentary
195883,-,no commentary
195881,-,no commentary
195882,-,no commentary
195888,-,no commentary
195886,-,no commentary
195889,-,no commentary
195887,-,no commentary
195890,-,no commentary
195893,-,no commentary
195891,-,no commentary
195892,-,no commentary
195894,-,no commentary
195895,-,no commentary
195896,-,no commentary
195898,-,no commentary
195900,-,no commentary
195899,-,no commentary
195897,-,no commentary
195901,-,no commentary
195902,-,no commentary
203712,-,no commentary
203763,-,no commentary
195906,-,no commentary
195904,-,no commentary
195905,-,no commentary
195907,-,no commentary
195903,-,no commentary
195908,-,no commentary
195909,-,no commentary
195912,-,no commentary
195910,-,no commentary
195913,-,no commentary
195914,-,no commentary
195911,-,no commentary
195919,-,no commentary
195918,-,no commentary
195916,-,no commentary
195917,-,no commentary
195915,-,no commentary
195920,-,no commentary
195926,-,no commentary
195923,-,no commentary
195922,-,no commentary
195925,-,no commentary
195924,-,no commentary
195921,-,no commentary
195927,-,no commentary
195929,-,no commentary
195928,-,no commentary
195930,-,no commentary
195931,-,no commentary
195932,-,no commentary
207058,-,no commentary
207059,-,no commentary
207060,-,no commentary
207061,-,no commentary
207063,-,no commentary
207062,-,no commentary
207064,-,no commentary
207065,-,no commentary
210699,-,no commentary
210700,-,no commentary
210889,-,no commentary
215212,-,no commentary
215213,-,no commentary
215214,-,no commentary
215215,-,no commentary
215372,-,no commentary
215216,-,no commentary
215217,-,no commentary
215218,-,no commentary
215219,-,no commentary
215220,-,no commentary
215373,-,no commentary
215221,-,no commentary
215222,-,no commentary
215223,-,no commentary
215225,-,no commentary
215226,-,no commentary
215224,-,no commentary
215227,-,no commentary
215374,-,no commentary
215228,-,no commentary
215375,-,no commentary
215229,-,no commentary
215230,-,no commentary
215231,-,no commentary
215232,-,no commentary
215233,-,no commentary
215234,-,no commentary
215235,-,no commentary
215236,-,no commentary
215237,-,no commentary
215238,-,no commentary
215239,-,no commentary
215240,-,no commentary
215376,-,no commentary
215242,-,no commentary
215241,-,no commentary
215243,-,no commentary
215244,-,no commentary
215377,-,no commentary
215245,-,no commentary
215378,-,no commentary
215248,-,no commentary
215247,-,no commentary
215246,-,no commentary
215249,-,no commentary
215250,-,no commentary
215251,-,no commentary
215254,-,no commentary
215253,-,no commentary
215255,-,no commentary
215379,-,no commentary
215252,-,no commentary
215256,-,no commentary
215380,-,no commentary
215258,-,no commentary
215259,-,no commentary
215257,-,no commentary
215260,-,no commentary
215261,-,no commentary
215381,-,no commentary
215262,-,no commentary
215263,-,no commentary
215264,-,no commentary
215265,-,no commentary
215266,-,no commentary
215267,-,no commentary
215268,-,no commentary
215271,-,no commentary
215269,-,no commentary
215270,-,no commentary
215382,-,no commentary
215272,-,no commentary
215273,-,no commentary
215274,-,no commentary
215275,-,no commentary
215277,-,no commentary
215383,-,no commentary
215276,-,no commentary
215278,-,no commentary
215279,-,no commentary
215280,-,no commentary
215282,-,no commentary
215281,-,no commentary
215283,-,no commentary
215384,-,no commentary
215285,-,no commentary
215284,-,no commentary
215286,-,no commentary
215287,-,no commentary
215385,-,no commentary
215288,-,no commentary
215386,-,no commentary
215289,-,no commentary
215291,-,no commentary
215290,-,no commentary
215292,-,no commentary
215293,-,no commentary
215294,-,no commentary
215297,-,no commentary
215298,-,no commentary
215296,-,no commentary
215295,-,no commentary
215387,-,no commentary
215299,-,no commentary
215388,-,no commentary
215300,-,no commentary
215301,-,no commentary
215302,-,no commentary
215303,-,no commentary
215389,-,no commentary
215304,-,no commentary
215305,-,no commentary
215308,-,no commentary
215306,-,no commentary
215307,-,no commentary
215309,-,no commentary
215390,-,no commentary
215310,-,no commentary
215312,-,no commentary
215311,-,no commentary
215391,-,no commentary
215313,-,no commentary
215314,-,no commentary
215392,-,no commentary
215317,-,no commentary
215315,-,no commentary
215316,-,no commentary
215318,-,no commentary
215319,-,no commentary
215321,-,no commentary
215320,-,no commentary
215322,-,no commentary
215324,-,no commentary
215325,-,no commentary
215323,-,no commentary
215393,-,no commentary
215326,-,no commentary
215327,-,no commentary
215328,-,no commentary
215330,-,no commentary
215331,-,no commentary
215332,-,no commentary
215329,-,no commentary
215333,-,no commentary
215334,-,no commentary
215335,-,no commentary
215394,-,no commentary
215336,-,no commentary
215337,-,no commentary
215338,-,no commentary
215339,-,no commentary
218962,-,no commentary
215340,-,no commentary
215395,-,no commentary
215342,-,no commentary
215343,-,no commentary
215341,-,no commentary
215344,-,no commentary
215345,-,no commentary
215346,-,no commentary
215347,-,no commentary
215396,-,no commentary
215350,-,no commentary
215348,-,no commentary
215349,-,no commentary
215351,-,no commentary
215352,-,no commentary
215354,-,no commentary
215357,-,no commentary
215397,-,no commentary
215355,-,no commentary
215356,-,no commentary
215358,-,no commentary
215359,-,no commentary
215398,-,no commentary
215361,-,no commentary
215363,-,no commentary
215362,-,no commentary
215360,-,no commentary
215364,-,no commentary
215399,-,no commentary
215365,-,no commentary
215366,-,no commentary
215400,-,no commentary
215367,-,no commentary
215368,-,no commentary
215370,-,no commentary
215369,-,no commentary
215371,-,no commentary
216547,-,no commentary
216550,-,no commentary
216551,-,no commentary
216548,-,no commentary
216549,-,no commentary
216552,-,no commentary
231045,-,no commentary
231048,-,no commentary
231047,-,no commentary
231046,-,no commentary
231049,-,no commentary
231050,-,no commentary
231052,-,no commentary
231051,-,no commentary
231503,-,no commentary
231504,-,no commentary
231621,-,no commentary
237750,-,Game on!
237750,1',Throw-in: Stefani Miglioranzi takes it (Defending)
237750,1',Throw-in: Stefani Miglioranzi takes it (Attacking)
237750,1',Throw-in: Stefani Miglioranzi takes it (Attacking)
237750,2',Guillermo Barros Schelotto commits a foul on Jim Brennan resulting on a free kick for Toronto FC
237750,3',Throw-in: Frankie Hejduk takes it (Attacking)
237750,3',Throw-in: Jim Brennan takes it (Defending)
237750,3',Throw-in: Frankie Hejduk takes it (Attacking)
237750,4',Throw-in: Jim Brennan takes it (Defending)
237750,4',Robbie Rogers commits a foul on Todd Dunivant resulting on a free kick for Toronto FC
237750,5',Will Hesmer takes a long goal kick
237750,5',Jim Brennan commits a foul on Adam Moffat resulting on a free kick for Columbus
237750,6',Throw-in: Todd Dunivant takes it (Attacking)
237750,6',Offside called on Todd Dunivant
237750,7',Jim Brennan crosses the ball. Outcome: shot
237750,7',Jeff Cunningham hits a good right footed shot. Outcome: save
237750,8',Will Hesmer makes a very good save (Catch)
237750,8',Robbie Rogers hits a good left footed shot. Outcome: save
237750,9',Brian Edwards makes a very good save (Catch)
237750,9',Throw-in: Carl Robinson takes it (Defending)
237750,10',Frankie Hejduk commits a foul on Tyrone Marshall resulting on a free kick for Toronto FC
237750,10',Frankie Hejduk is awarded a yellow card. Reason: unsporting behaviour
237750,11',Throw-in: Todd Dunivant takes it (Attacking)
237750,12',Throw-in: Marvell Wynne takes it (Defending)
237750,12',Tyler Hemming crosses the ball. Outcome: shot
237750,13',"Todd Dunivant hits a left footed shot, but it is off target. Outcome: miss left"
237750,13',Will Hesmer takes a long goal kick
237750,13',Throw-in: Todd Dunivant takes it (Attacking)
237750,14',Throw-in: Marvell Wynne takes it (Defending)
237750,14',Throw-in: Carl Robinson takes it (Attacking)
237750,15',Throw-in: Todd Dunivant takes it (Attacking)
237750,15',Throw-in: Todd Dunivant takes it (Attacking)
237750,16',Throw-in: Frankie Hejduk takes it (Attacking)
237750,16',Brian Edwards takes a long goal kick
237750,17',Eddie Gaven crosses the ball. Outcome: open play
237750,17',Brian Edwards takes a long goal kick
237750,18',Throw-in: Marvell Wynne takes it (Attacking)
237750,18',Frankie Hejduk commits a foul on Collin Samuel resulting on a free kick for Toronto FC
237750,19',Robbie Rogers hits a good left footed shot. Outcome: save
237750,20',Brian Edwards makes a very good save (Catch)
237750,20',Will Hesmer takes a long goal kick
237750,21',Brian Edwards takes a long goal kick
237750,22',Guillermo Barros Schelotto commits a foul on Carl Robinson resulting on a free kick for Toronto FC
237750,23',Offside called on Brian Carroll
237750,24',Throw-in: Todd Dunivant takes it (Defending)
237750,24',Throw-in: Frankie Hejduk takes it (Attacking)
